web-scraper-order,web-scraper-start-url,beer,beer-href,name,price,alcohol,description,size,brewer,country,pagination,pagination-href,category,retail_price,Description2,brewer2
"1605382723-531","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Muskoka Winter Beard Double Chocolate Cranberry Stout

          $13.79
          222315
          750 ml



      Heavy







      Flavoured","https://www.liquormarts.ca/product/muskoka-winter-beard-double-chocolate-cranberry-stout/750-ml","Muskoka Winter Beard Double Chocolate Cranberry Stout","$13.79","8.00%","Our Double Chocolate Cranberry Stout is rich and sturdy with roasted dark malts, real cocoa, 70% dark chocolate and freshly harvested local cranberries.","Item # 222315       | UPC 628669050206 | 750 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Ale > Flavoured","null","IBU: 20","Muskoka Winter Beard Double Chocolate Cranberry Stout"
"1605382557-480","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Lucky Lager

          $20.79
          910208
          12 x 355 ml



      Light







      Malty","https://www.liquormarts.ca/product/lucky-lager/12-x-355-ml","Lucky Lager","$20.79","5.00%","null","Item # 910208       | UPC 062067355240 | 12 x 355 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Pale","null","Lucky Lager was introduced to beer drinkers in 1934. The name Lucky was selected from a name-search contest. Fully fermented, Lucky Lager used select ingredients and hops to deliver a remarkably clean, crisp-tasting beer.","Labatt Lucky"
"1605382478-455","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Lake of the Woods Brewing - Lakeside Kolsch

          $3.49
          22832
          473 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/lake-woods-brewing-lakeside-kolsch/473-ml","Lake of the Woods Brewing - Lakeside Kolsch","$3.49","5.00%","Lakeside is brewed using an old-world technique which produces a crisp, clean ale with lager characteristics. It is a delicate and subtle beer with a hint of malt and fruit in the nose.","Item # 22832       | UPC 805057000160 | 473 ml","null","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Other Ales","null","6 IBU","Lake of the Woods Brewing Co."
"1605381666-198","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Bridge Brewing The Grinch Winter Seasonal Ale

          $8.27
          21187
          650 ml



      Balanced







      Malty","https://www.liquormarts.ca/product/bridge-brewing-grinch-winter-seasonal-ale/650-ml","Bridge Brewing The Grinch Winter Seasonal Ale","$8.27","6.50%","Pours a dark brown with a light hint of red. A rich winter warmer with notes of caramel, treacle, and a hint of Granny's plum pudding. Ho-ho-hops from New Zealand add notes of pine, and soft Christmas spices.","Item # 21187       | UPC 641061556497 | 650 ml","null","Canada","6","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=5","Beer > Ale > Dark","null","30 IBU","Bridge Brewing Company"
"1605382555-479","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Lowenbrau Original

          $2.99
          17818
          473 ml



      Light







      Hoppy","https://www.liquormarts.ca/product/lowenbrau-original/473-ml","Lowenbrau Original","$2.99","5.20%","null","Item # 17818       | UPC 062067860539 | 473 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Pale","null","Löwenbräu Original is a light, bottom-fermented beer with original high wort.  It is magnificently refreshing, slightly dry, spicy, with a trace of malt and delicately bitter.  Brewed according to the Purity Law by using nothing else but hops, malt, yeast and water.","Lowenbrau Original"
"1605382060-329","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","FERNIE BREWING GHOSTRIDER PUMPKIN BROWN ALE

          $7.49
          31078
          650 ml



      Balanced







      Flavoured","https://www.liquormarts.ca/product/fernie-brewing-ghostrider-pumpkin-brown-ale/650-ml","FERNIE BREWING GHOSTRIDER PUMPKIN BROWN ALE","$7.49","5.00%","Our classic Brown Ale is  brewed with pumpkin, spice and all things nice. This annual Pumpkin Brown Ale returns with an exciting new name, Ghostrider Pumpkin Brown Ale - an ode to the legendary shadow that watches over Fernie.

It is unfiltered to keep the real pumpkin taste alive.","Item # 31078       | UPC 626990110330 | 650 ml","null","Canada","5","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=4","Beer > Ale > Flavoured","null","IBU: 13","Fernie Brewing Company"
"1605381561-153","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","BARN HAMMER BREWING SATURDAY NIGHT LUMBERJACK DOUBLE IPA

          $4.10
          25696
          473 ml


      Delivery








      Heavy







      Hoppy","https://www.liquormarts.ca/product/barn-hammer-brewing-saturday-night-lumberjack-double-ipa/473-ml","BARN HAMMER BREWING SATURDAY NIGHT LUMBERJACK DOUBLE IPA","$4.10","7.50%","Strong and aggressively bittered but balanced with a hefty malt backbone. Plenty of late-kettle and dry hops gives a pronounced citrus and floral aroma.","Item # 25696       | UPC 628451827764 | 473 ml","Barn Hammer Brewing Company","Canada","7","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=6","Beer > Ale > Pale","null","IBU 75","null"
"1605381546-146","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Barn Hammer Brewing 66 New England Style IPA

          $4.33
          26184
          473 ml


      Delivery








      Heavy







      Hoppy","https://www.liquormarts.ca/product/barn-hammer-brewing-66-new-england-style-ipa/473-ml","Barn Hammer Brewing 66 New England Style IPA","$4.33","6.60%","A hazy Northeast style IPA, brewed with wheat and oats, loaded with juicy hops.","Item # 26184       | UPC 628451827795 | 473 ml","Barn Hammer Brewing Company","Canada","7","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=6","Beer > Ale > Pale","null","20 IBU","null"
"1605382290-397","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","Half Pints Little Scrapper IPA

          $3.95
          30128
          473 ml


      Delivery








      Balanced







      Hoppy","https://www.liquormarts.ca/product/half-pints-little-scrapper-ipa/473-ml","Half Pints Little Scrapper IPA","$3.95","6.00%","This west-coast style IPA is heartlily hopped with both pelletized and whole cone hops.  Aromas of citrus and pine and are backed by a middleweight malt body. Try it with a Curry or Fish & Chips. Served best at 4C.","Item # 30128       | UPC 693314012663 | 473 ml","null","Canada","4","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=3","Beer > Ale > Pale","null","50 IBU","Half Pints Brewing Company"
"1605382708-525","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428","MUSKOKA BREWERY TREAD LIGHTLY LO-CAL LAGER

          $3.29
          34678
          473 ml



      Light







      Hoppy","https://www.liquormarts.ca/product/muskoka-brewery-tread-lightly-lo-cal-lager/473-ml","MUSKOKA BREWERY TREAD LIGHTLY LO-CAL LAGER","$3.29","4.00%","Like all of our beer, Tread Lightly is proudly crafted in Muskoka with all natural ingredients.","Item # 34678       | UPC 628669091971 | 473 ml","null","Canada","3","https://www.liquormarts.ca/search-products/%25?sort=field_web_description&order=desc&f%5B0%5D=field_category_type%3A1428&page=2","Beer > Lager > Light","null","17 IBU","Muskoka Brewery Inc."
